tmdb_id,poster_path,overview
51925,/a46lJ3NnGnfpZ98p7e2FcUqliQC.jpg,"Le bac en poche, Bébél pensait partir aux Seychelles avec sa petite amie Jennifer, mais celle‐ci a préféré s’en aller avec un autre. Une semblable mésaventure est arrivée à Claudine. L’un comme l’autre restent à Paris. Ils deviennent les cobayes du « Love computer », une invention d’un producteur‐musicien désireux de mesurer l’effet que produisent ses chansons sur les couples…"
41470,/6OZZVkPBZSGa7RNaQ5uajAJDIzu.jpg,"Giacomo est un chômeur passionné par l'univers de James Bond qu'il s'imagine être en rêve. Sans le savoir, il est suivi par des agents secrets qui le prennent pour James, un espion français qui a disparu à Tunis lors d'une mission et qu'ils suspectent de s'être dissimulé sous une fausse identité. Giacomo, persuadé d'être dans un rêve, se retrouve bientôt à Tunis pour terminer la mission entamée par James ..."
80587,/cKHyy1skNuNF1vRkG1g3i8l5u6N.jpg,"Pauline Valence s'occupe de ses sœurs et de sa grand-mère. Elle est exigeante, dure, perfectionniste. Elle s'est donnée les moyens d'arriver à se faire une place. Elle vit en courant, orchestrant tout. Un jour, son père Victor, aventurier et libre entrepreneur, s'en reviendrait du Canada et veut vendre la maison familiale pour financer l'achat et la rénovation d'un casino au bord du lac Léman. Pauline au caractère excessif et emporté, s'oppose violemment à ce projet et dès lors, ce ne sont que disputes et tumultes entre le père et la fille."
178297,/zbcRt1hto8QJRDPZ3eYcphUSiwa.jpg,"Auteur de chansons sans éditeur, anar et poète, Alex vit seul avec son jeune fils, Bruno. Chauffeur de taxi, il ramène un jour dans un commissariat un sac oublié par une cliente: il se retrouve attaché par des menottes à une fille à papa. À partir de cet instant, le destin d'Alex sera lié à celui de cette miss catastrophe, qui va totalement chambouler sa vie..."
69044,/fNSRXUkdJadKgqhhlJlRLZjFjAi.jpg,"Guy travaille comme pompiste dans une station-service et arnaque les clients en facturant des prestations non effectuées. Ce qui lui vaudra de se faire renvoyer, perdant également son logement fourni par son employeur. Son ami Daniel est dans le transport de petites marchandises, de la messegarie de fret. Sans travail et sans logement , Guy demande à Daniel de l’héberger, ce denier, qui vit chez son amie Françoise, accepte de le dépanner. Bien mal leur a pris…"
71524,/28vPYQiZsnpAhhMEK6MmHShkgfT.jpg,"À l’occasion des Jeux Olympiques de Berlin de 1936, Georges dit « Jo », entraîneur de l’équipe française de boxe se rend en train dans la capitale accompagné de ses « poulains ». Il est abordé par un gosse de dix ans, Karl, un petit juif, qui le suit partout pour obtenir un autographe…"
52557,/mJxlrfnVXhXNGRCBY5GrbIGHv3r.jpg,"Michel Bernardin est employé à Planète Assistance, société d'assurances pour les voyageurs à l'Étranger. D'après son expérience tous les pays étrangers offrent ses dangers, maladies, aux polices corrompues, aux prisons systématiques. Sa fiancée Isabelle va quitter son emploi d’hôtesse de l’air pour passer plus de temps avec lui. Son amie Sophia, qui dirige une agence de voyages, l'a prise avec elle, à l'agence. Michel ne pouvait concevoir que sa future femme aille si loin aux devants de tous les dangers des autres pays. Mais Isabelle doit un préavis, et doit effectuer des derniers vols. Elle choisi de ne pas le dire à Michel. Lui-même, doit aussi faire des « extras » en rapatriements sur demande de son président. Chacun cache la vérité à l'autre. Mais comment vont-il bien pouvoir manœuvrer ?"
171,/jksgQI0oCtbX80l5MtKfNW7TxCD.jpg,"Deux ans ont passé, Vic, maintenant âgée de 15 ans (et 3 mois) entre en classe de seconde au lycée Henri-IV. Ses amis aussi ont grandi. Cela fait maintenant un an qu'elle n'est pas ""sortie"" avec un garçon. Dans le train, en rentrant d'Autriche avec Poupette, lors du contrôle des Douanes, ce n'est pas son passeport qui lui est rendu, mais celui d'un certain Philippe Berthier, un jeune homme de 18 ans dont elle va vite devenir amoureuse. Dans le même temps, ses parents François et Françoise évoluent dans leurs carrières respectives et des choix devront être faits..."
49398,/ge2B2hzlaSpN8SCnBRwSq8m2mg4.jpg,Rahatlocum est une colonie romaine nord‐africaine où Jules César est venu passer des vacances dispendieuses. La révolte gronde parmi le petit peuple qui se trouve un leader en la personne du garagiste de Ben‐Hur Marcel.
11915,/aMRRaX48RpSGp7RJxwkIJUndtdJ.jpg,"Dans ses locaux flambant neufs, la brigade de Saint-Tropez est chargée d'accueillir, de prendre soin et de former un contingent de quatre jeunes femmes en uniforme. Un spécialiste de l'espionnage informatique enlève, l'une après l'autre, les nouvelles recrues. L'existence de la brigade étant mise en danger par ces enlèvements dont la raison semble inexplicable, nos gendarmes déploieront au péril de leur vie, des trésors d'ingéniosité pour retrouver ces femmes dont ils avaient la garde."
64344,/arFohWX8FEUHsXxNczcW0SJuZCO.jpg,"Alain Durieux est dépressif. Il consulte le docteur Valois qui lui prescrit une nouvelle technique qu'il a mise au point: le flashage. Dès lors, Durieux redevient un mari entreprenant auprès de Jeanne, son épouse, un gendre idéal pour sa belle-mère et un employé modèle dans sa société. Mais Valois s'aperçoit vite qu'il a créé une sorte de monstre."
32692,/cGs9b9SIfuvzEafvMCAwfFsOMGW.jpg,"Durant le tournage d'un film, un realisateur se detourne de son entreprise en decouvrant la lutte d'une jeune ouvriere licenciee par un patron qui n'appreciait guere ses activites syndicales."
59455,/9ZHuDYS8RBnjc3ZC67FNMruh25F.jpg,"À Paris, influencés par une série de casses de banques qui défraient la chronique, Sam serrurier fraîchement licencié et Paul chômeur expérimenté, voient dans cet expédient un moyen facile de gagner l’argent qui leur fait cruellement défaut. Ils ont tout perdu à défaut d'avoir réglé les factures, squattent désormais chez Caroline, une amante de Sam. Acculés, ils préparent leur prise d'otages bancaire prévue pour le 24 décembre en matinée. Mais leur plan ne se déroulera pas exactement comme ils l’avaient prévu, encore deux, trois petites choses à parfaire…"
14645,/i5KrHnqlFr5taNRPREXQKV104Fy.jpg,"Félix représente mal le père Noël : il est sale, brutal, vulgaire et il boit. Fatalement, son amie Josette le quitte. Elle trouve refuge à la permanence de SOS détresse tenue par ces 2 coincés que sont Pierre et Thérèse. S'y croisent également un homosexuel dépressif, Mme Musquin, un émigré voisin et un pauvre réparateur d'ascenseur…"
78803,/mydj4ByyzqqB6LRs1qPnxbz2EMv.jpg,"André Joeuf est le patron d’un cabinet d’assurances. Il invite pour un week‐end tous ses employés dans sa maison de campagne. Mais derrière ce qui semble être une récompense, ce patron cynique cherche avant tout à déterminer lesquels de ses cadres (les « gros salaires » ) il devra licencier afin de préserver son entreprise."
79748,/g2UdriEPvhj9Yo82GKcARtZzvSI.jpg,"Petit exploitant agricole du Finistère, Joseph Cohen reçoit un jour la visite de son propriétaire, Alexandre, le châtelain du lieu, qui lui annonce sa décision de ne pas renouveler son bail. Ulcéré, Joseph chasse le hobereau et, prêt à tout pour conserver ""ses"" terres, se résoud à faire appel à son frère, Pierre, psychologue, installé à Paris. L'un et l'autre ne se sont pas vus depuis des années et se détestent cordialement, mais en une heure aussi grave, Joseph pense pouvoir compter sur lui. Effectivement, quelques jours plus tard, Pierre abandonne sa fiancée, Françoise, pour prendre le train en direction de Pont-Aven..."
71055,/mRkziEqiJEvaCAqDOlvJjEGbGuO.jpg,"Victor, amoureux de la nature, a trouvé le repos dans une idyllique contrée de l'Afrique centrale. L'arrivée intempestive de son ex-femme menace son univers paradisiaque. Celle-ci veut en effet implanter dans la région un village-vacances pour touristes fortunés."
197485,/o12Xy7VSUpfpv6di9cFveu9u8x2.jpg,"Vincent est victime d'une tentative de meurtre effectuée par une jeune femme qui veut venger sa sœur. Albert, l'ami d'enfance de Vincent, veut l'aider et se met à enquêter sur cette femme."
82052,/heYhA3NUBYJYaSTpQaLjyI7yWpN.jpg,"Alice est une jeune femme épanouie qui exerce à mi-temps le métier de secrétaire médical à Paris et vit avec Philippe, un pilote de ligne et son fils Simon. Entourée de ses fidèles amies Solange dite «Losange» et Cynthia, elle a également un deuxième emploi de rééducatrice dans un centre thermal de Trouville où elle vit avec Vincent, un instituteur, et ses deux enfants…! Cette double vie semble suivre son cours sans qu'aucun de ses deux maris se doute de l'existence de l'autre grâce à la complicité de ses amies. Pourtant un jour l'inévitable se produit et Vincent et Philippe finissent par se rencontrer au grand dam d'Alice, incapable de choisir entre les deux…"
78409,/xsDo3HrnADWlD8dmJhXAXqgTL2K.jpg,"Les inspecteurs Leroux et Pélissier enquêtent chez la propriètaire d'une galerie d'art contemporain, Hélène Duvernet, soupçonnée d'être mêlée à un trafic de tableaux volés. Pélissier ne la croit pas impliquée tandis que Leroux à la fois intrigué et attiré par la jeune femme, la suit partout et en tombe amoureux. Il finit par la prendre ne flagrant délit et lorque son amant meurt accidentellement, il l'aide à se débarasser de son corps."
10484,/t3qHHVYEPDpqQ6WXBaMvu76Su5d.jpg,"Tristan Martin, un adolescent de 17 ans, fait une fugue, au désespoir de sa mère Christine. Pour le retrouver, celle-ci envoie deux de ses anciens amants, François Pignon un émotif depressif suicidaire chronique et Jean Lucas, un journaliste d'investigation, en leur faisant croire que l'un d'entre eux est peut-être le père. Transportés par leur soudaine paternité, ces derniers deviennent de fins limiers."
52166,/lw1aVAC1ppXUHgXsepkQdFViAtD.jpg,"Pour le plus grand bonheur des Dalton, leur gardien de prison fête son anniversaire... L'occasion est trop belle pour les quatre frères qui tentent alors une évasion spectaculaire ! Naturellement désigné pour mettre fin à cette cavale, Lucky Luke part sur leurs traces, ""aidé"" du chien le plus bête de l'Ouest, Rantanplan. Contre toute attente, la piste des évadés prend la direction du Grand Nord canadien. Tenteraient-ils de trouver protection auprès de leur ""douce"" maman Ma Dalton ?"
64504,/hCHc6v0XIggcRlkvWkbXCDejKYL.jpg,"Deux amis, Pascal et Micky, travaillent dans une station de sports d'hiver. Pascal a une liaison avec Viviane qui est loin de laisser Micky indifférent, mais c'est la femme de son pote... Jusqu'au jour où Pascal le pousse dans les bras de Viviane. Micky cède et finit par passer quelques jours en compagnie de la jeune femme pendant une absence de Pascal."
427810,/aUquL2xkdIR16sePbCVsT9rRphD.jpg,"Réalisateur de films publicitaires, Paul héberge Maurice chez lui. Maurice, c'est un drôle de type, quelqu'un qui s'incruste et qui vit de combines. Surtout lorsque Paul, comme c'est souvent le cas, n'est pas chez lui. Rentrant un jour de voyage, celui-ci a la surprise de trouver Anne devant lui, celle qui l'a quitté deux ans plus tôt. Son but aujourd'hui, ce n'est pas de revenir vivre avec Paul, mais de lui faire épouser Zosia, une Polonaise qui pourra ainsi quitter son pays où elle vient de passer deux ans en prison et où son opposition au régime est devenue trop voyante. L'idée est inattendue, mais Paul finit par accepter."
75996,/bssRyOxsXcJYcn7clqjcvFiEYqY.jpg,"Alex, ancien du Music Hall, devenu chef de rang dans une grande brasserie parisienne, partage son appartement avec son collègue Gilbert. Séparé de sa femme, Alex accumule les conquêtes sans jamais s'attacher. Mais un jour, il s'éprend de Claire, et tente de la retenir dans sa vie, animé de donner vie à son projet : construire, ouvrir et gérer un petit parc d'attractions au bord de la mer."
48769,/6teVZPk7JW0aePF7yzCBRKFNPSD.jpg,"Paris, 1940. Une famille de musiciens virtuoses, les Bourdel, refuse de jouer pour les Allemands. En 1943, leur hôtel particulier est réquisitionné pour accueillir le général Spontz. La cohabitation est d'autant plus difficile que l'un des membres de la famille n'est autre que le célèbre ""Super-Résistant""."
10293,/etELlm7GUQDOwT42SKAuzWs0TZl.jpg,"Après son divorce, Marion décide de terminer l'été sur la côte normande, en compagnie de sa cousine Pauline. Les deux jeunes femmes vont vivre des histoires d'amour inattendues…"
79756,/amGWB8XGA6hq4my0s2Qqhg8SyyN.jpg,"Le docteur Lestrade dit « Gigi », vétérinaire, a tout pour plaire aux femmes et au fisc : une clinique, une grosse cylindrée, une belle maison, ainsi que la vie mondaine qui se doit d'accompagner ces biens matériaux. Mais, la météo change quand une inspectrice des Impôts, dont c'est le premier contrôle, se présente à la clinique pour un contrôle fiscal..."
63978,/4XoZgPpiH8OqT9YZ7LdqAXlD1VQ.jpg,"En 1919, dans son château situé dans la forêt des Ardennes, le comte Forbek propose à ses invités une expérience qui doit les conduire à un état de bonheur permanent. Le prix à payer est un enfermement total, l'oubli du passé et une rééducation des sens, en sélectionnant tout ce qui est harmonieux. Mais l'amour-passion incarné par Fanny Ardant fait exploser ce modèle.  En 1982, le même château est devenu un collège expérimental. Un colloque de chercheurs s'y réunit pour préciser les méthodes et moyens d'une éducation de l'imagination.  Au même moment, trois enfants s'inventent un conte moyenâgeux, dans lequel un prince vaillant triomphe d'un tyran pour le bonheur de son peuple (source Wikipedia)"
2455,/4uPbhZwr98CKSAebgAW1ZNMZy1k.jpg,"À Hyères, dans le Var, Julien Vercel, possède et exploite une agence immobilière. Il est soupçonné, lors d'une partie de chasse, d'avoir assassiné M. Massoulier qui était l'un des amants de Marie-Christine, sa femme. Les faits sont contre lui, d'autant que peu de temps après, Marie-Christine est, elle aussi, assassinée au domicile conjugal. Le commissaire Santelli est chargé d'instruire. Caché dans son agence, Julien Vercel demande à Barbara Becker, sa secrétaire à la personnalité marquée, de mener l'enquête. De péripétie en péripétie, de rebondissement en rebondissement, Barbara s'approche du vrai coupable."
64225,/qYigiNjgmq9ghjQNq866ixm2VYY.jpg,"Un auteur excentrique fait appel à deux comédiennes pour répéter et jouer une de ses pièces chez lui. D'abord hésitantes, les deux femmes acceptent."
86096,/1TEz6IMrWbcVCZLE7LZ6sbSumzo.jpg,"Ernesto est un gamin de sept ans qui en paraît quatre fois plus. A l’école, il surprend le directeur car il refuse de suivre les cours et d’apprendre ce qu’il ne sait pas. En fait, c’est un surdoué qui a acquis une connaissance précise en écoutant les autres. Après l’école, il devient professeur de maths puis savant."
3118,/cNZxL0yeDZ37YVCf05us8nbhhjF.jpg,"Le Docteur Frankenstein crée une créature mi-humaine, mi-électronique : Frank. Plus tard, ce dernier devient responsable d'une grande entreprise et est sur le point de devenir père."
37168,/fXggXPq2NtGr3NTe2XLN7IoKRgm.jpg,"Réalisé en 1984 par André Melançon, La Guerre des tuques est le premier film de la série ""Contes pour tous"", produite par Rock Demers. Après une dizaine de longs métrages, on serait tenté de dire que c’est aussi le meilleur… Dans une petite ville de campagne, lors des vacances de Noël, deux bandes d’enfants se disputent l’occupation d’un château de neige. Un groupe est mené par un garçon fort en gueule (Cédric Jourde), l’autre, par une fille qui n’a pas froid aux yeux (Marie-Pierre D’Amour). Entre les deux, l’humour d’un garçon d’origine chinoise (Minh Vu Duc), les appréhensions d’un pacifiste en herbe (Mathieu Savard) et une histoire d’amour naissante viendront pimenter ces délicieuses aventures."
39978,/2ctu39oPSwB9Wp2L1nwieZdBwOD.jpg,Matthias Duval est amoureux de deux jumelles américaines et il n'arrive pas à choisir. Il s'invente alors un frère jumeau.
55976,/1Vr7N7edmLZRpv0rHy7SjTHLSu4.jpg,"François, routard fatigué, débarque dans le port de Marseille. Musicien hors‐pair, il est bien décidé à exploiter son talent dans les studios parisiens. Denis, inséparable compagnon et négatif de François, est un grand spécialiste de l’angoisse et ne cesse de gémir. Vu ce qui les attend à Paris, il n’est pas prêt de s’arrêter…"
72664,/pPnzchrVLpnvCwsmIDNxEjkOYzF.jpg,"En 1943, en Tunisie, pendant la Seconde Guerre mondiale, un détachement de légionnaires est chargé de récupérer 6 milliards de Francs en lingots d’or de la banque d’El Ksour pour les transporter vers un lieu sécurisé. À l'arrivé de la Légion étrangère à El Ksour, la ville est aux mains des Allemands. Une fusillade éclate et seulement quatre hommes en réchappent. Le sergent Pierre Augagneur, son ami le légionnaire Boissier et l'artilleur Béral veulent s’approprier les lingots et s’enfuirent. Mais le commandant survivant, l'adjudant Édouard Mahuzard et le directeur de la banque, Laroche-Fréon entendent faire respecter les ordres à la lettre et empêcher les mutins de prendre l'or..."
42394,/cKaRTRLRTh9L5YV4OOdrQxXT4oB.jpg,"Gardien de la paix sympathique et maladroit, le brigadier Pinot décide de prendre sous son aile Marylou, une jeune toxicomane originaire du même village que lui. Mais la jeune femme est sous l'emprise de Tony, un dangereux dealer. Le policier va prendre tous les risques dans cette affaire qui pourrait lui coûter sa carrière... ou faire de lui un héros."
